category,0,2,4,6,8,10,12,14,16,18,20,22
Transportation,51.4,23.4,35.2,111.8,166.4,149.0,115.8,113.6,123.2,121.4,105.8,92.6
Education and Culture,13.4,7.6,8.0,31.0,44.2,39.4,33.0,31.8,37.8,35.4,30.8,24.2
Tourist Attractions,6.2,3.4,2.4,12.4,16.0,13.2,8.8,10.2,9.6,8.0,9.8,7.8
Accommodation,10.0,6.4,7.2,33.4,43.8,39.2,21.0,32.8,36.0,28.4,29.8,19.6
Automotive Services,15.2,10.0,9.6,32.2,44.2,38.6,29.0,37.0,37.8,34.2,32.0,24.4
Life Services,36.6,21.6,18.8,69.0,109.8,121.6,86.0,91.8,103.6,94.6,84.2,64.6
Dining,59.6,25.2,22.4,79.8,100.6,108.0,88.2,94.6,105.2,117.2,104.4,81.4
Shopping,70.0,35.6,38.8,131.0,185.0,176.0,154.8,163.2,167.2,156.0,148.6,106.8
Leisure and Entertainment,4.8,3.0,3.4,6.0,7.6,9.4,8.0,8.4,5.8,13.0,15.0,9.6
Healthcare,14.0,6.4,5.0,22.8,23.2,25.4,18.0,22.8,30.8,27.8,26.4,20.2
Businesses,34.6,18.0,18.8,59.6,101.6,90.4,72.6,81.4,78.0,99.0,80.2,61.2
Fitness,2.3333333333333335,1.5,2.0,5.0,4.8,5.0,4.75,3.25,4.8,5.4,4.0,2.2
Commercial and Residential,16.0,8.2,7.4,30.8,44.0,44.0,45.0,42.8,49.2,47.0,38.6,28.4
Financial Institutions,4.8,3.25,2.0,6.0,6.2,9.6,6.8,6.6,7.8,11.0,10.0,7.2
